ascii_code,char,char_display,char_name,index,row,col,cell_x,cell_y,cell_w,cell_h,draw_x,draw_y,draw_w,draw_h,base_glyph_w,base_glyph_h,outline_px,xadvance,u0,v0,u1,v1
32, ,SPACE,SPACE,0,0,0,0,0,12,17,2,2,8,13,6,11,1,12,0.0,0.0,0.0625,0.166667
33,!,!,EXCLAMATION_MARK,1,0,1,12,0,12,17,14,2,8,13,6,11,1,12,0.0625,0.0,0.125,0.166667
34,"""","\""",DOUBLE_QUOTE,2,0,2,24,0,12,17,26,2,8,13,6,11,1,12,0.125,0.0,0.1875,0.166667
35,#,#,HASH,3,0,3,36,0,12,17,38,2,8,13,6,11,1,12,0.1875,0.0,0.25,0.166667
36,$,$,DOLLAR,4,0,4,48,0,12,17,50,2,8,13,6,11,1,12,0.25,0.0,0.3125,0.166667
37,%,%,PERCENT,5,0,5,60,0,12,17,62,2,8,13,6,11,1,12,0.3125,0.0,0.375,0.166667
38,&,&,AMPERSAND,6,0,6,72,0,12,17,74,2,8,13,6,11,1,12,0.375,0.0,0.4375,0.166667
39,',',APOSTROPHE,7,0,7,84,0,12,17,86,2,8,13,6,11,1,12,0.4375,0.0,0.5,0.166667
40,(,(,LEFT_PAREN,8,0,8,96,0,12,17,98,2,8,13,6,11,1,12,0.5,0.0,0.5625,0.166667
41,),),RIGHT_PAREN,9,0,9,108,0,12,17,110,2,8,13,6,11,1,12,0.5625,0.0,0.625,0.166667
42,*,*,ASTERISK,10,0,10,120,0,12,17,122,2,8,13,6,11,1,12,0.625,0.0,0.6875,0.166667
43,+,+,PLUS,11,0,11,132,0,12,17,134,2,8,13,6,11,1,12,0.6875,0.0,0.75,0.166667
44,",",",",COMMA,12,0,12,144,0,12,17,146,2,8,13,6,11,1,12,0.75,0.0,0.8125,0.166667
45,-,-,HYPHEN,13,0,13,156,0,12,17,158,2,8,13,6,11,1,12,0.8125,0.0,0.875,0.166667
46,.,.,PERIOD,14,0,14,168,0,12,17,170,2,8,13,6,11,1,12,0.875,0.0,0.9375,0.166667
47,/,/,SLASH,15,0,15,180,0,12,17,182,2,8,13,6,11,1,12,0.9375,0.0,1.0,0.166667
48,0,0,0,16,1,0,0,17,12,17,2,19,8,13,6,11,1,12,0.0,0.166667,0.0625,0.333333
49,1,1,1,17,1,1,12,17,12,17,14,19,8,13,6,11,1,12,0.0625,0.166667,0.125,0.333333
50,2,2,2,18,1,2,24,17,12,17,26,19,8,13,6,11,1,12,0.125,0.166667,0.1875,0.333333
51,3,3,3,19,1,3,36,17,12,17,38,19,8,13,6,11,1,12,0.1875,0.166667,0.25,0.333333
52,4,4,4,20,1,4,48,17,12,17,50,19,8,13,6,11,1,12,0.25,0.166667,0.3125,0.333333
53,5,5,5,21,1,5,60,17,12,17,62,19,8,13,6,11,1,12,0.3125,0.166667,0.375,0.333333
54,6,6,6,22,1,6,72,17,12,17,74,19,8,13,6,11,1,12,0.375,0.166667,0.4375,0.333333
55,7,7,7,23,1,7,84,17,12,17,86,19,8,13,6,11,1,12,0.4375,0.166667,0.5,0.333333
56,8,8,8,24,1,8,96,17,12,17,98,19,8,13,6,11,1,12,0.5,0.166667,0.5625,0.333333
57,9,9,9,25,1,9,108,17,12,17,110,19,8,13,6,11,1,12,0.5625,0.166667,0.625,0.333333
58,:,:,COLON,26,1,10,120,17,12,17,122,19,8,13,6,11,1,12,0.625,0.166667,0.6875,0.333333
59,;,;,SEMICOLON,27,1,11,132,17,12,17,134,19,8,13,6,11,1,12,0.6875,0.166667,0.75,0.333333
60,<,<,LESS_THAN,28,1,12,144,17,12,17,146,19,8,13,6,11,1,12,0.75,0.166667,0.8125,0.333333
61,=,=,EQUALS,29,1,13,156,17,12,17,158,19,8,13,6,11,1,12,0.8125,0.166667,0.875,0.333333
62,>,>,GREATER_THAN,30,1,14,168,17,12,17,170,19,8,13,6,11,1,12,0.875,0.166667,0.9375,0.333333
63,?,?,QUESTION_MARK,31,1,15,180,17,12,17,182,19,8,13,6,11,1,12,0.9375,0.166667,1.0,0.333333
64,@,@,AT,32,2,0,0,34,12,17,2,36,8,13,6,11,1,12,0.0,0.333333,0.0625,0.5
65,A,A,A,33,2,1,12,34,12,17,14,36,8,13,6,11,1,12,0.0625,0.333333,0.125,0.5
66,B,B,B,34,2,2,24,34,12,17,26,36,8,13,6,11,1,12,0.125,0.333333,0.1875,0.5
67,C,C,C,35,2,3,36,34,12,17,38,36,8,13,6,11,1,12,0.1875,0.333333,0.25,0.5
68,D,D,D,36,2,4,48,34,12,17,50,36,8,13,6,11,1,12,0.25,0.333333,0.3125,0.5
69,E,E,E,37,2,5,60,34,12,17,62,36,8,13,6,11,1,12,0.3125,0.333333,0.375,0.5
70,F,F,F,38,2,6,72,34,12,17,74,36,8,13,6,11,1,12,0.375,0.333333,0.4375,0.5
71,G,G,G,39,2,7,84,34,12,17,86,36,8,13,6,11,1,12,0.4375,0.333333,0.5,0.5
72,H,H,H,40,2,8,96,34,12,17,98,36,8,13,6,11,1,12,0.5,0.333333,0.5625,0.5
73,I,I,I,41,2,9,108,34,12,17,110,36,8,13,6,11,1,12,0.5625,0.333333,0.625,0.5
74,J,J,J,42,2,10,120,34,12,17,122,36,8,13,6,11,1,12,0.625,0.333333,0.6875,0.5
75,K,K,K,43,2,11,132,34,12,17,134,36,8,13,6,11,1,12,0.6875,0.333333,0.75,0.5
76,L,L,L,44,2,12,144,34,12,17,146,36,8,13,6,11,1,12,0.75,0.333333,0.8125,0.5
77,M,M,M,45,2,13,156,34,12,17,158,36,8,13,6,11,1,12,0.8125,0.333333,0.875,0.5
78,N,N,N,46,2,14,168,34,12,17,170,36,8,13,6,11,1,12,0.875,0.333333,0.9375,0.5
79,O,O,O,47,2,15,180,34,12,17,182,36,8,13,6,11,1,12,0.9375,0.333333,1.0,0.5
80,P,P,P,48,3,0,0,51,12,17,2,53,8,13,6,11,1,12,0.0,0.5,0.0625,0.666667
81,Q,Q,Q,49,3,1,12,51,12,17,14,53,8,13,6,11,1,12,0.0625,0.5,0.125,0.666667
82,R,R,R,50,3,2,24,51,12,17,26,53,8,13,6,11,1,12,0.125,0.5,0.1875,0.666667
83,S,S,S,51,3,3,36,51,12,17,38,53,8,13,6,11,1,12,0.1875,0.5,0.25,0.666667
84,T,T,T,52,3,4,48,51,12,17,50,53,8,13,6,11,1,12,0.25,0.5,0.3125,0.666667
85,U,U,U,53,3,5,60,51,12,17,62,53,8,13,6,11,1,12,0.3125,0.5,0.375,0.666667
86,V,V,V,54,3,6,72,51,12,17,74,53,8,13,6,11,1,12,0.375,0.5,0.4375,0.666667
87,W,W,W,55,3,7,84,51,12,17,86,53,8,13,6,11,1,12,0.4375,0.5,0.5,0.666667
88,X,X,X,56,3,8,96,51,12,17,98,53,8,13,6,11,1,12,0.5,0.5,0.5625,0.666667
89,Y,Y,Y,57,3,9,108,51,12,17,110,53,8,13,6,11,1,12,0.5625,0.5,0.625,0.666667
90,Z,Z,Z,58,3,10,120,51,12,17,122,53,8,13,6,11,1,12,0.625,0.5,0.6875,0.666667
91,[,[,LEFT_BRACKET,59,3,11,132,51,12,17,134,53,8,13,6,11,1,12,0.6875,0.5,0.75,0.666667
92,\,\\,BACKSLASH,60,3,12,144,51,12,17,146,53,8,13,6,11,1,12,0.75,0.5,0.8125,0.666667
93,],],RIGHT_BRACKET,61,3,13,156,51,12,17,158,53,8,13,6,11,1,12,0.8125,0.5,0.875,0.666667
94,^,^,CARET,62,3,14,168,51,12,17,170,53,8,13,6,11,1,12,0.875,0.5,0.9375,0.666667
95,_,_,UNDERSCORE,63,3,15,180,51,12,17,182,53,8,13,6,11,1,12,0.9375,0.5,1.0,0.666667
96,`,`,BACKTICK,64,4,0,0,68,12,17,2,70,8,13,6,11,1,12,0.0,0.666667,0.0625,0.833333
97,a,a,a,65,4,1,12,68,12,17,14,70,8,13,6,11,1,12,0.0625,0.666667,0.125,0.833333
98,b,b,b,66,4,2,24,68,12,17,26,70,8,13,6,11,1,12,0.125,0.666667,0.1875,0.833333
99,c,c,c,67,4,3,36,68,12,17,38,70,8,13,6,11,1,12,0.1875,0.666667,0.25,0.833333
100,d,d,d,68,4,4,48,68,12,17,50,70,8,13,6,11,1,12,0.25,0.666667,0.3125,0.833333
101,e,e,e,69,4,5,60,68,12,17,62,70,8,13,6,11,1,12,0.3125,0.666667,0.375,0.833333
102,f,f,f,70,4,6,72,68,12,17,74,70,8,13,6,11,1,12,0.375,0.666667,0.4375,0.833333
103,g,g,g,71,4,7,84,68,12,17,86,70,8,13,6,11,1,12,0.4375,0.666667,0.5,0.833333
104,h,h,h,72,4,8,96,68,12,17,98,70,8,13,6,11,1,12,0.5,0.666667,0.5625,0.833333
105,i,i,i,73,4,9,108,68,12,17,110,70,8,13,6,11,1,12,0.5625,0.666667,0.625,0.833333
106,j,j,j,74,4,10,120,68,12,17,122,70,8,13,6,11,1,12,0.625,0.666667,0.6875,0.833333
107,k,k,k,75,4,11,132,68,12,17,134,70,8,13,6,11,1,12,0.6875,0.666667,0.75,0.833333
108,l,l,l,76,4,12,144,68,12,17,146,70,8,13,6,11,1,12,0.75,0.666667,0.8125,0.833333
109,m,m,m,77,4,13,156,68,12,17,158,70,8,13,6,11,1,12,0.8125,0.666667,0.875,0.833333
110,n,n,n,78,4,14,168,68,12,17,170,70,8,13,6,11,1,12,0.875,0.666667,0.9375,0.833333
111,o,o,o,79,4,15,180,68,12,17,182,70,8,13,6,11,1,12,0.9375,0.666667,1.0,0.833333
112,p,p,p,80,5,0,0,85,12,17,2,87,8,13,6,11,1,12,0.0,0.833333,0.0625,1.0
113,q,q,q,81,5,1,12,85,12,17,14,87,8,13,6,11,1,12,0.0625,0.833333,0.125,1.0
114,r,r,r,82,5,2,24,85,12,17,26,87,8,13,6,11,1,12,0.125,0.833333,0.1875,1.0
115,s,s,s,83,5,3,36,85,12,17,38,87,8,13,6,11,1,12,0.1875,0.833333,0.25,1.0
116,t,t,t,84,5,4,48,85,12,17,50,87,8,13,6,11,1,12,0.25,0.833333,0.3125,1.0
117,u,u,u,85,5,5,60,85,12,17,62,87,8,13,6,11,1,12,0.3125,0.833333,0.375,1.0
118,v,v,v,86,5,6,72,85,12,17,74,87,8,13,6,11,1,12,0.375,0.833333,0.4375,1.0
119,w,w,w,87,5,7,84,85,12,17,86,87,8,13,6,11,1,12,0.4375,0.833333,0.5,1.0
120,x,x,x,88,5,8,96,85,12,17,98,87,8,13,6,11,1,12,0.5,0.833333,0.5625,1.0
121,y,y,y,89,5,9,108,85,12,17,110,87,8,13,6,11,1,12,0.5625,0.833333,0.625,1.0
122,z,z,z,90,5,10,120,85,12,17,122,87,8,13,6,11,1,12,0.625,0.833333,0.6875,1.0
123,{,{,LEFT_BRACE,91,5,11,132,85,12,17,134,87,8,13,6,11,1,12,0.6875,0.833333,0.75,1.0
124,|,|,PIPE,92,5,12,144,85,12,17,146,87,8,13,6,11,1,12,0.75,0.833333,0.8125,1.0
125,},},RIGHT_BRACE,93,5,13,156,85,12,17,158,87,8,13,6,11,1,12,0.8125,0.833333,0.875,1.0
126,~,~,TILDE,94,5,14,168,85,12,17,170,87,8,13,6,11,1,12,0.875,0.833333,0.9375,1.0
